시군명,음식점명,맛집전화번호,대표음식명,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도
수원시,기와집,031-298-8882,"장어구이,활전복구이",16372,경기도 수원시 권선구 서수원로594번길 251,경기도 수원시 권선구 입북동 633-101번지,37.28558056,126.9583189
시흥시,우강,031-433-0592,"장어구이,장어정식",15040,경기도 시흥시 옥구천서로 313,경기도 시흥시 정왕동 1856-4번지,37.35130478,126.7229956
시흥시,소꼼닭,,"소꼼닭(양념소갈비살,꼼장어,닭갈비)",15036,경기도 시흥시 서촌상가3길 15-6,경기도 시흥시 정왕동 1727-3번지,37.34732289,126.7329946
시흥시,도토리마을묵집,031-485-9797,도토리묵밥,14983,경기도 시흥시 동서로857번길 28-22,경기도 시흥시 물왕동 113-4번지,37.38595299,126.8401627
안산시,해미청,031-438-7789,해물찜,15549,경기도 안산시 상록구 각골로 47,경기도 안산시 상록구 본오동 778-1번지,37.29377283,126.8722885
안산시,궁중삼계탕,031-502-9090,"궁중한방삼계탕, 매운삼계탕",15581,경기도 안산시 상록구 석호공원로 69,경기도 안산시 상록구 사동 1197-4번지,37.30168981,126.8510886
안산시,상록한정식,031-500-4455,한정식,15588,경기도 안산시 상록구 해안로 705,경기도 안산시 상록구 사동 1271-11번지,37.29164169,126.8304612
안산시,광양참숯불구이,031-419-9233,등심,15462,경기도 안산시 단원구 광덕동로 101,경기도 안산시 단원구 고잔동 727-1번지,37.31360277,126.8326702
안산시,복요리전문점복청,031-410-3588,생복지리,15357,경기도 안산시 단원구 원고잔로 15,경기도 안산시 단원구 고잔동 520-4번지,37.31890039,126.8274543
안산시,이천영양돌솥밥,031-408-2008,한정식,15628,경기도 안산시 상록구 항가울로 7,경기도 안산시 상록구 사동 1431-9번지,37.28252226,126.8470568
안산시,여울쌈밥,031-316-3838,"제육쌈밥, 불고기쌈밥",15210,경기도 안산시 단원구 꽃우물1길 16-5,경기도 안산시 단원구 화정동 555번지,37.35848524,126.8220989
안산시,오양순추어탕,031-401-1778,"추어탕, 매운탕",15281,경기도 안산시 상록구 안산천동로 256,경기도 안산시 상록구 월피동 458-14번지,37.33604577,126.8502513
안성시,대림쌈밥,031-651-3199,코다리양념구이쌈밥,17548,경기도 안성시 공도읍 산책길 15,경기도 안성시 공도읍 마정리 112-108번지,37.01499591,127.2034579
안성시,안성맞춤한우촌,031-673-5550,생갈비,17517,경기도 안성시 삼죽면 신미1길 126,경기도 안성시 삼죽면 미장리 82번지,37.03674194,127.3714092
안양시,명가원설농탕,031-384-5335,설렁탕,13941,경기도 안양시 동안구 관악대로 249,경기도 안양시 동안구 비산동 1033-4번지,37.40231816,126.9504858
안양시,허서방추어탕메기매운탕,031-473-3040,참게메기매운탕,13914,경기도 안양시 만안구 예술공원로 118,경기도 안양시 만안구 안양동 1291번지,37.41792411,126.9191133
안양시,화진가든,031-472-9292,왕갈비,13965,경기도 안양시 만안구 안양로 468,경기도 안양시 만안구 석수동 320-14번지,37.41180025,126.9111037
안양시,해조,031-385-1407,"민어탕, 해조정식",14066,경기도 안양시 동안구 관평로186번길 23,경기도 안양시 동안구 관양동 1599-3번지,37.39403952,126.9613579
양주시,황우촌,031-826-6692,왕갈비,11512,경기도 양주시 백석읍 호명로 103-92,경기도 양주시 백석읍 복지리 87-7번지,37.78492426,126.9937618
양주시,산하식당,031-871-9369,한우 등심,11518,경기도 양주시 백석읍 기산로 410,경기도 양주시 백석읍 기산리 397번지,37.77580025,126.9356284
양주시,나들이,031-848-4760,한정식,11494,경기도 양주시 송랑로89번길 8,경기도 양주시 만송동 296-5번지,37.79349646,127.0888607
양주시,봉암식당,031-863-5064,한우등심,11425,경기도 양주시 은현면 봉암길 17,경기도 양주시 은현면 봉암리 185-16번지,37.90763724,127.0065728
양주시,동강어탕,031-821-0079,어탕국수,11498,경기도 양주시 부흥로1398번길 71,경기도 양주시 유양동 310-6번지,37.78111567,127.0295141
양평군,길조,031-774-7020,활어회,12571,경기도 양평군 강상면 독배길 32-25,경기도 양평군 강상면 병산리 181-5번지,37.49360338,127.4734269
양평군,중미산막국수,031-773-1834,막국수,12505,경기도 양평군 옥천면 마유산로 586,경기도 양평군 옥천면 신복리 835-1번지,37.53522682,127.4671755
여주시,삼구농원,031-884-3911,"버섯비빔밥, 버섯돈가스정식",12653,경기도 여주시 세종로517번길 55-18,경기도 여주시 점봉동 81-1번지,37.25683943,127.653187
여주시,여주본가,031-883-1277,한정식,12656,경기도 여주시 가남읍 가남로 270-3,경기도 여주시 가남읍 양귀리 141-2번지,37.21457228,127.5802138
여주시,황제능이버섯 백숙,031-881-5285,황제능이해신탕,12636,경기도 여주시 여양로 428,경기도 여주시 오학동 85-16번지,37.31859107,127.6485946
여주시,강계봉진막국수,031-882-8300,막국수,12608,경기도 여주시 대신면 천서리길 26,경기도 여주시 대신면 천서리 419-2번지,37.40319738,127.5489582
연천군,대교여울목,031-835-2528,민물매운탕,11049,경기도 연천군 백학면 청정로46번길 25,경기도 연천군 백학면 노곡리 609번지,37.9897043,126.9206353
오산시,어부나라생선구이,031-373-2186,"모듬생선구이, 갈치조림",18102,경기도 오산시 지곶길 49,경기도 오산시 지곶동 231-1번지,37.17859824,127.024456
오산시,콩마당,031-372-3334,"두부만두전골, 순두부",18102,경기도 오산시 독산성로 225,경기도 오산시 지곶동 278-3번지,37.17741589,127.0240804
오산시,예찬,031-375-2552,귀빈정식,18102,경기도 오산시 독산성로270번길 96-32,경기도 오산시 세교동 470번지,37.1819471,127.0370076
오산시,세마오리농원,031-375-5299,숯불오리로스구이,18101,경기도 오산시 양산로 186,경기도 오산시 양산동 539번지,37.18680461,127.012034
용인시,주식회사 청와정,031-896-9876,안동국시,16832,경기도 용인시 수지구 수지로342번길 7,경기도 용인시 수지구 풍덕천동 658-1번지,37.32806393,127.0962076
용인시,주식회사시골농장가든,031-339-6600,오리백숙,17155,경기도 용인시 처인구 양지면 한터로 690,경기도 용인시 처인구 양지면 대대리 765번지,37.26086243,127.2799287
용인시,옛터,031-339-6630,한정식,16886,경기도 용인시 처인구 모현읍 능원로132번길 9,경기도 용인시 처인구 모현읍 능원리 376번지,37.32747395,127.1737785
용인시,청룡,031-334-9258,자라찜,17170,경기도 용인시 처인구 원삼면 보개원삼로 1624,경기도 용인시 처인구 원삼면 죽능리 236번지,37.13821673,127.3114504
용인시,양대화,031-889-2233,양대창구이,16879,경기도 용인시 수지구 죽전로 232,경기도 용인시 수지구 죽전동 1350번지,37.3303507,127.1283772
용인시,대덕골보쌈칼국수,031-335-0201,"보쌈, 칼국수",17052,경기도 용인시 처인구 금령로71번길 16,경기도 용인시 처인구 김량장동 254-370번지,37.23642217,127.2039908
용인시,장수촌,031-266-1117,누룽지백숙,16804,경기도 용인시 수지구 성복2로 412,경기도 용인시 수지구 성복동 641-1번지,37.32310245,127.0454434
용인시,㈜한국관,031-275-6100,양념갈비,17086,경기도 용인시 기흥구 기흥단지로 8,경기도 용인시 기흥구 고매동 413-27번지,37.22248075,127.1033877
의왕시,정성담,031-458-2300,"한우 등심, 오코냉면",16074,경기도 의왕시 고산로 1,경기도 의왕시 고천동 317번지,37.35198052,126.9711657
의왕시,민속두부마을,031-429-5429,두부버섯전골,16075,경기도 의왕시 오봉산길 17,경기도 의왕시 고천동 424번지,37.34978762,126.9626224
의정부시,핏제리아 루카,031-851-3589,마르게리따 피자,11813,경기도 의정부시 송현로82번길 17,경기도 의정부시 민락동 776-2번지,37.74557881,127.0904426
의정부시,송산주막한우생고기전문점,031-853-1010,한우모듬구이,11775,경기도 의정부시 청사로6번길 7-14,경기도 의정부시 신곡동 764-2번지,37.74975775,127.071792
의정부시,고산떡갈비,031-842-3006,떡갈비,11692,경기도 의정부시 평화로562번길 13,경기도 의정부시 의정부동 202-15번지,37.74230433,127.0477953
의정부시,장수민촌,031-853-2578,"능이버섯오리백숙, 능이버섯닭백숙",11810,경기도 의정부시 승지로4번길 15,경기도 의정부시 민락동 746-1번지,37.73804804,127.0890881
의정부시,평양초계탕 막국수,031-874-6526,"초계탕, 막국수",11673,경기도 의정부시 둔야로33번길 34,경기도 의정부시 의정부동 481-11번지,37.73903844,127.0377026
이천시,증포설렁탕,031-635-7877,"설렁탕, 도가니탕",17346,경기도 이천시 증신로 166,경기도 이천시 증포동 368번지,37.29030741,127.4513294
이천시,안옥화 음식갤러리,031-631-8375,약선탕,17301,경기도 이천시 신둔면 석동로 51-12,경기도 이천시 신둔면 지석리 411번지,37.32227412,127.4233289
파주시,유일곰탕,031-944-3691,곰탕,10946,경기도 파주시 월롱면 다락고개길 119,경기도 파주시 월롱면 위전리 430-27번지,37.79536181,126.7910941
파주시,교하정,031-942-7788,"양념갈비,육회",10866,경기도 파주시 교하로 1290,경기도 파주시 교하동 617-12번지,37.74877792,126.7369971
파주시,"초계탕,춘천막국수",031-958-5250,초계탕,10826,경기도 파주시 법원읍 초리골길 110,경기도 파주시 법원읍 법원리 391-3번지,37.85110034,126.8896218
파주시,문산밤나무골,031-952-5240,"전복한방백숙, 오리로스",10836,경기도 파주시 파주읍 통일로 1604-144,경기도 파주시 파주읍 봉서리 327-1번지,37.85256061,126.7944797
파주시,오백년누룽지백숙,031-8071-6500,닭 누룽지 백숙,10858,경기도 파주시 탄현면 새오리로 94,경기도 파주시 탄현면 성동리 94번지,37.79261783,126.6858912
파주시,물빛하늘정원,031-948-8535,"국보탕, 장어구이",10858,경기도 파주시 탄현면 새오리로 209-23,경기도 파주시 탄현면 대동리 93-1번지,37.80094081,126.6877763
평택시,고려정,031-657-8484,"한우한마리, 한우불고기전골",17896,경기도 평택시 평택3로 75,경기도 평택시 비전동 603-2번지,36.9958963,127.0943744
평택시,㈜푸른소 경복궁,031-655-0567,생갈비코스,17904,경기도 평택시 조개터로26번길 64,경기도 평택시 합정동 914-3번지,36.98862248,127.1053019
포천시,참나무쟁이,031-531-7970,진지상,11189,경기도 포천시 내촌면 금강로 2458,경기도 포천시 내촌면 내리 267번지,37.79457063,127.2336151
포천시,갈비장터,031-536-3392,장터갈비,11179,경기도 포천시 소흘읍 솔모루로58번길 4,경기도 포천시 소흘읍 송우리 145-8번지,37.82723607,127.1453759
포천시,명지원,031-536-9919,이동갈비,11118,경기도 포천시 일동면 화동로 1258,경기도 포천시 일동면 화대리 367-5번지,37.97202868,127.3310272
포천시,상황버섯향촌,031-535-0005,"상황버섯 삼계탕,상황버섯 닭오리백숙",11151,경기도 포천시 군내면 포천로 1540,경기도 포천시 군내면 하성북리 673번지,37.89645635,127.2076571
포천시,허브아일랜드 아테네홀,031-353-1174,"허브돈까스,허브비빔밥",11137,경기도 포천시 신북면 청신로947번길 35,경기도 포천시 신북면 삼정리 517-2번지,37.96592242,127.1317088
포천시,대대손손묵집,031-542-6898,대대손손묵집 정식,11185,경기도 포천시 소흘읍 죽엽산로447번길 11-3,경기도 포천시 소흘읍 고모리 221-6번지,37.79442726,127.166659
포천시,대복 복전문점,031-535-0303,복매운탕,11162,경기도 포천시 호국로964번길 12,경기도 포천시 선단동 505-9번지,37.85024134,127.1651576
포천시,동이손만두,031-541-6870,만두전골,11186,경기도 포천시 소흘읍 광릉수목원로 700-5,경기도 포천시 소흘읍 직동리 376-2번지,37.77371845,127.1584401
하남시,하남미소 명품한우,031-699-0002,꽃등심,12947,경기도 하남시 대청로 27,경기도 하남시 신장동 522-4번지,37.54101722,127.2152084
하남시,한채당,031-792-8880,궁중한정식,12900,경기도 하남시 미사동로 38,경기도 하남시 미사동 297번지,37.57066517,127.2015746
하남시,지호 한방 삼계탕,031-795-9996,삼계탕,12984,경기도 하남시 하남대로 995,경기도 하남시 풍산동 234-2번지,37.54762922,127.1886477
화성시,홍천덤바우록계탕,031-366-7880,록계탕,18271,경기도 화성시 남양읍 역골중앙로41번길 42,경기도 화성시 남양읍 남양리 2033-2번지,37.20636442,126.8278232
화성시,소담뜰,031-8059-7667,"한우구이, 한우갈비탕",18593,경기도 화성시 향남읍 배터길 14,경기도 화성시 향남읍 평리 94-2번지,37.13273371,126.9063607

